Рейтинг шкіл Хмельницької області 2017 року
Інформаційним освітнім ресурсом «Освіта.ua» складено рейтинг загальноосвітніх шкіл Хмельницької області, що посіли найвищі місця у рейтингу шкіл України за підсумками ЗНО 2017 року.

У якості вихідних даних для укладання рейтингу загальноосвітніх навчальних закладів були використані результати зовнішнього незалежного оцінювання, отримані випускниками шкіл у 2017 році.

Школи у таблиці ранжовані за рейтинговим балом, який розрахований на підставі середнього значення балів зовнішнього незалежного оцінювання, отриманих учасниками тестування з усіх предметів ЗНО, та з урахуванням загальної кількості складених тестів випускниками кожної школи. Детальніше про алгоритм розрахунку рейтингового бала дивіться за посиланням.

Дані рейтингової таблиці відкориговані станом на 13 вересня 2017 року у зв’язку із виявленою технічною помилкою у розрахунку рейтингового бала окремих шкіл (було помилково враховано випускників шкіл, які не з’явились на тести). Приносимо вибачення усім користувачам сайту.

Рейтинг шкіл Хмельницької області
Назва навчального закладу	Місце	TOP	Рейт. бал	Бал ЗНО	Учнів / тестів	Склав (%)
Вовковинецька ЗОШ I-III ст. Деражнянської райради Хмельницької обл.	124	4109	106.4	124.3	12/40	90
Корчівська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	125	4118	106.4	124.8	4/15	100
Ярмолинецька ЗОШ №2 I-III ст. Ярмолинецької райради Хмельницької обл.	126	4128	106.3	123.9	16/51	94
Правдівська ЗОШ I-III ст. імені Лохвицького П.Т.	127	4144	106.3	124.6	5/18	94
Пироговецька ЗОШ I-III ст. Хмельницької райради	128	4176	106	124.3	5/20	90
Дунаєвецька ЗОШ I-III ст. №2 Дунаєвецької міськради Хмельницької обл.	129	4196	105.9	123.1	19/66	91
Зеленокуриловецька ЗОШ I-III ст.	130	4221	105.8	123.9	7/25	96
Городоцька школа I-III ст. з польською мовою навчання	131	4223	105.8	122.0	35/109	88
Томашівська ЗОШ I-III ст. Дунаєвецької селищної ради Хмельницької обл.	132	4227	105.8	123.7	10/31	87
Ямпільська ЗОШ I-III ст.	133	4229	105.7	123.0	18/61	92
Деражнянська ЗОШ І-ІІІ ст. №2 Деражнянської райради Хмельницької обл.	134	4285	105.4	122.3	22/77	88
Шепетівська ЗОШ I-III ст. №8 Хмельницької обл.	135	4328	105.2	122.0	23/79	89
Великозозулинецька ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	136	4345	105.1	123.1	6/24	92
Ленковецька ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	137	4347	105.1	122.8	10/37	95
Голосківська ЗОШ I-III ст. Меджибізької селищної ради	138	4399	104.8	122.8	6/24	96
Пеньківський НВК "ЗОШ І-ІІІ ст. - ДНЗ"Старокостянтинівської райради Хмельницької обл.	139	4400	104.8	123.0	4/15	100
Старокостянтинівська ЗОШ I-III ст. №7 Старокостянтинівської міськради Хмельницької обл.	140	4456	104.5	120.7	25/99	95
Яхновецька ЗОШ I-III ст.	141	4495	104.3	122.2	6/21	90
Кунівська ЗОШ I-III ст. Ізяславської райради Хмельницької обл.	142	4524	104.1	121.8	8/30	83
Малоборовицька ЗОШ I-III ст.	143	4548	104	121.4	10/40	90
Кам’янець-Подільська ЗОШ I-III ст. №15 Хмельницької обл.	144	4550	103.9	120.9	18/62	89
Старокостянтинівська ЗОШ I-III ст. №4 Старокостянтинівської міськради Хмельницької обл.	145	4558	103.9	121.6	8/29	90
НВК «Морозівська ЗОШ І-ІІІ ст. – ДНЗ» Дунаєвецької селищної ради Хмельницької обл.	146	4564	103.9	121.6	8/27	93
Полонська ЗОШ I-III ст. №3 Полонської міськради об’єднаної територіальної громади Хмельницької обл.	147	4627	103.6	119.8	26/92	88
Сутковецька ЗОШ I-III ст. Ярмолинецького р-ну Хмельницької обл. імені Романа Лабаня	148	4637	103.5	121.1	8/30	90
Солобковецька ЗОШ I-III ст. Ярмолинецького р-ну Хмельницької обл.	149	4660	103.4	120.6	13/46	87
Староушицька спеціалізована ЗОШ I-III ст., екологічного напрямку	150	4701	103.1	120.3	14/47	91
Шепетівська ЗОШ I-III ст. №3 Хмельницької обл.	151	4733	102.9	119.4	23/77	88
Сокільська ЗОШ I-III ст.	152	4775	102.7	120.2	9/29	90
Білівський НВК "ЗОШ I-III ст. - дитячий садок" Ізяславської райради Хмельницької обл.	153	4794	102.6	120.4	4/12	92
ЗОШ I-III ст. №2 м.Городка	154	4831	102.4	118.4	24/92	88
Манятинський НВК "ДНЗ - середня ЗОШ І-ІІІ ст." Берездівської сільської ради Славутського р-ну Хмельницької обл.	155	4836	102.3	119.8	8/27	93
Чорноострівський НВК	156	4900	101.9	119.4	6/22	95
Смотрицька ЗОШ I-III ст. ім.Мелетія Смотрицького Дунаєвецької райради Хмельницької обл.	157	4916	101.8	118.4	19/63	87
Митковецький НВК "ЗОШ I-III ст. - ДНЗ" імені Г.М.Демчишина Меджибізької селищної ради Хмельницької обл.	158	4921	101.8	119.4	5/16	94
Радісненська ЗОШ I-III ст. Красилівського р-ну Хмельницької обл.	159	4955	101.6	119.0	6/23	96
Самчиківська ЗОШ I-III ст. Старокостянтинівської райради Хмельницької обл.	160	4967	101.5	118.2	18/56	89
ЗОШ I-III ст. №3 м. Славути Хмельницької обл.	161	4992	101.3	117.0	29/102	89
Сусловецька ЗОШ I-III ст. Летичівської райради	162	5016	101.2	118.0	13/47	91
Копистинський НВК	163	5066	100.8	118.2	6/20	90
Грушківський НВК "ЗОШ I-III ст., агротехнічний ліцей"	164	5067	100.8	117.8	10/38	87
ЗОШ I-III ст. №4	165	5099	100.7	116.0	31/112	88
Травлинська ЗОШ I-III ст. Шепетівської райради Хмельницької обл.	166	5124	100.5	117.8	6/20	95
Розсошанський НВК "Дошкільний навчальний заклад, ЗОШ I-III ст."	167	5183	100.2	117.5	5/17	82
Лозівська ЗОШ І-ІІІ ст. Деражнянської райради Хмельницької обл.	168	5242	99.8	116.7	9/35	91
Летичівський НВК №3 "ЗОШ І-ІІІ ст.- ДНЗ" Летичівської селищної ради Хмельницької обл.	169	5247	99.8	117.0	5/20	85
Улашанівський НВК "ДНЗ - середня ЗОШ I-III ст." імені Володимира Марковського Славутської райради Хмельницької обл.	170	5265	99.7	116.4	10/40	83
Кадиєвецька ЗОШ I-III ст.	171	5272	99.6	116.5	8/32	88
Новокостянтинівська ЗОШ I-III ст. Летичівської селищної ради	172	5278	99.6	116.9	3/12	100
